state,district,biometric_updates,demographic_updates,new_enrolments,total_updates,assi,district_type,stress_type,bio_ratio,demo_ratio,temporal_status,assi_trend,assi_acceleration,future_mbu_demand,mbu_risk_score,age_18_greater,anomaly_score,security_status,Recommended_Action,Priority,Preparedness_Index,District_Playbook
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,7306.0,14156.0,665.0,21462.0,32.27368421052632,Maintenance-heavy Zone,Demographic-dominant Stress,0.34041561830211536,0.6595843816978846,Emerging Hotspot,7.186114570361145,8.00979748643967,618,19.945136842105263,17,1,Normal,Activate Mobile Document Centers,High,58.6,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,East Godavari,301850.0,156025.0,7678.0,457875.0,59.634670487106014,Maintenance-heavy Zone,Biometric-dominant Stress,0.6592410592410592,0.34075894075894075,Emerging Hotspot,9.425256337204099,10.236807610786016,7161,427.0438753581662,10,1,Normal,"Pre-position Biometric Kits (MBU Wave Incoming), Deploy 5+ Iris Scanners",CRITICAL,35.3,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Eluru,8230.0,17584.0,629.0,25814.0,41.03974562798092,Maintenance-heavy Zone,Demographic-dominant Stress,0.3188192453707291,0.681180754629271,Emerging Hotspot,7.8605166763061485,13.235586451948068,568,23.310575516693163,16,1,Normal,Activate Mobile Document Centers,High,52.0,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Guntur,291694.0,177221.0,9729.0,468915.0,48.19765649090348,Maintenance-heavy Zone,Mixed Stress,0.6220615676615164,0.3779384323384835,Emerging Hotspot,4.908279051697588,9.099304763384387,8769,422.64524976873264,35,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,36.9,PRE-EMPTIVE: Book School Premises for MBU Camps
Andhra Pradesh,Hyderabad,105744.0,36206.0,4840.0,141950.0,29.328512396694215,Maintenance-heavy Zone,Biometric-dominant Stress,0.7449383585769637,0.2550616414230363,Emerging Hotspot,7.621519593752995,10.143294761337833,3831,112.35753099173553,1,1,Normal,Deploy 5+ Iris Scanners,High,54.1,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,K.V. Rangareddy,404.0,166.0,19.0,570.0,30.0,Maintenance-heavy Zone,Biometric-dominant Stress,0.7087719298245614,0.2912280701754386,Emerging Hotspot,11.063492063492065,79.39685794828226,15,0.45,0,1,Normal,Deploy 5+ Iris Scanners,High,64.8,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,K.V.Rangareddy,773.0,518.0,69.0,1291.0,18.71014492753623,Maintenance-heavy Zone,Mixed Stress,0.5987606506584043,0.40123934934159566,Emerging Hotspot,9.16235632183908,6.709743420280661,55,1.0290579710144927,0,1,Normal,Maintain Routine Operations,Normal,80.7,Maintain Routine Operations
Andhra Pradesh,Kakinada,11698.0,28269.0,969.0,39967.0,41.24561403508772,Maintenance-heavy Zone,Demographic-dominant Stress,0.2926914704631321,0.707308529536868,Emerging Hotspot,5.968091384949724,5.033206238452742,858,35.38873684210526,27,1,Normal,Activate Mobile Document Centers,High,50.9,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Karim Nagar,1697.0,1151.0,82.0,2848.0,34.73170731707317,Maintenance-heavy Zone,Mixed Stress,0.5958567415730337,0.4041432584269663,Emerging Hotspot,16.492424242424246,22.995477606654028,71,2.465951219512195,0,1,Normal,Maintain Routine Operations,High,58.8,Maintain Routine Operations
Andhra Pradesh,Karimnagar,17127.0,10331.0,659.0,27458.0,41.66616084977238,Maintenance-heavy Zone,Mixed Stress,0.6237526403962416,0.3762473596037585,Emerging Hotspot,17.28952380952381,18.101728726633958,552,22.999720789074356,0,1,Normal,Maintain Routine Operations,High,51.7,Maintain Routine Operations
Andhra Pradesh,Khammam,40958.0,32368.0,1133.0,73326.0,64.71844660194175,Maintenance-heavy Zone,Mixed Stress,0.558574039222104,0.441425960777896,Emerging Hotspot,28.503230084304253,35.4546827697475,869,56.24033009708738,0,1,Normal,Maintain Routine Operations,High,45.3,Maintain Routine Operations
Andhra Pradesh,Krishna,233247.0,111849.0,6737.0,345096.0,51.223986937806146,Maintenance-heavy Zone,Biometric-dominant Stress,0.6758901870783782,0.32410981292162183,Emerging Hotspot,6.323120268001612,6.805242130124516,6163,315.6934314976993,34,1,Normal,"Pre-position Biometric Kits (MBU Wave Incoming), Deploy 5+ Iris Scanners",CRITICAL,37.6,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Kurnool,350633.0,177645.0,11770.0,528278.0,44.883432455395074,Maintenance-heavy Zone,Biometric-dominant Stress,0.6637281885673831,0.3362718114326169,Early-warning District,5.489991177144536,4.873873343152142,10923,490.2617327102804,24,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,37.0,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Mahabub Nagar,13852.0,12813.0,1511.0,26665.0,17.647253474520184,Maintenance-heavy Zone,Mixed Stress,0.5194824676542283,0.4805175323457716,Emerging Hotspot,11.686767399267401,13.935215539226174,1079,19.04138649900728,0,1,Normal,Maintain Routine Operations,Normal,77.9,Maintain Routine Operations
Andhra Pradesh,Mahabubnagar,120.0,81.0,7.0,201.0,28.714285714285715,Maintenance-heavy Zone,Mixed Stress,0.5970149253731343,0.40298507462686567,Emerging Hotspot,0.6666666666666643,49.02607016226729,7,0.201,0,1,Normal,Maintain Routine Operations,High,66.8,Maintain Routine Operations
Andhra Pradesh,Mahbubnagar,14739.0,9897.0,722.0,24636.0,34.121883656509695,Maintenance-heavy Zone,Mixed Stress,0.5982708231855821,0.40172917681441794,Emerging Hotspot,15.15696707160122,16.496378763255784,511,17.436282548476456,0,1,Normal,Maintain Routine Operations,High,57.2,Maintain Routine Operations
Andhra Pradesh,Medak,22445.0,12963.0,1406.0,35408.0,25.183499288762448,Maintenance-heavy Zone,Mixed Stress,0.6338962946226842,0.36610370537731585,Emerging Hotspot,10.198665132336018,11.232392250323159,1176,29.61579516358464,1,1,Normal,Maintain Routine Operations,High,64.8,Maintain Routine Operations
Andhra Pradesh,N. T. R,13559.0,38070.0,933.0,51629.0,55.336548767416936,Maintenance-heavy Zone,Demographic-dominant Stress,0.2626237192275659,0.7373762807724341,Emerging Hotspot,7.992113338495511,7.045135848939284,790,43.71587352625938,46,1,Normal,Activate Mobile Document Centers,High,47.3,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Nalgonda,32653.0,29844.0,1167.0,62497.0,53.55355612682091,Maintenance-heavy Zone,Mixed Stress,0.5224730787077779,0.477526921292222,Emerging Hotspot,27.036948431685275,24.880315830688993,951,50.929431876606685,0,1,Normal,Maintain Routine Operations,High,46.8,Maintain Routine Operations
Andhra Pradesh,Nandyal,10640.0,27385.0,905.0,38025.0,42.01657458563536,Maintenance-heavy Zone,Demographic-dominant Stress,0.2798159105851414,0.7201840894148587,Emerging Hotspot,5.707587382779198,5.651802789911069,860,36.13425414364641,6,1,Normal,Activate Mobile Document Centers,High,50.4,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Nellore,158477.0,68123.0,5367.0,226600.0,42.220980063350105,Maintenance-heavy Zone,Biometric-dominant Stress,0.699368932038835,0.30063106796116507,Emerging Hotspot,6.0905748899386225,5.280178180635919,4611,194.68093907210735,2,1,Normal,Deploy 5+ Iris Scanners,High,42.0,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Nizamabad,10979.0,5541.0,524.0,16520.0,31.52671755725191,Maintenance-heavy Zone,Biometric-dominant Stress,0.664588377723971,0.33541162227602905,Emerging Hotspot,17.817421349336243,19.631280842039146,453,14.281603053435116,0,1,Normal,Deploy 5+ Iris Scanners,High,59.9,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Palnadu,10053.0,25495.0,860.0,35548.0,41.334883720930236,Maintenance-heavy Zone,Demographic-dominant Stress,0.28280072015303254,0.7171992798469675,Early-warning District,4.697944423296536,3.1617955067568118,759,31.37317674418605,25,1,Normal,Maintain Routine Operations,High,51.2,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Parvathipuram Manyam,10630.0,9391.0,508.0,20021.0,39.411417322834644,Maintenance-heavy Zone,Mixed Stress,0.5309425103641177,0.46905748963588234,Early-warning District,8.536994971557263,1.3855831158472247,464,18.286897637795274,8,1,Normal,Maintain Routine Operations,High,53.3,Maintain Routine Operations
Andhra Pradesh,Prakasam,212299.0,120498.0,7623.0,332797.0,43.656959202413745,Maintenance-heavy Zone,Mixed Stress,0.6379234187808184,0.3620765812191817,Declining / Stable,-12.084397083948122,41.67366790594528,6405,279.62282369146,61,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,39.4,PRE-EMPTIVE: Book School Premises for MBU Camps
Andhra Pradesh,Rangareddi,54595.0,22265.0,1884.0,76860.0,40.796178343949045,Maintenance-heavy Zone,Biometric-dominant Stress,0.7103174603174603,0.2896825396825397,Emerging Hotspot,11.081050247780398,11.60148822251112,1479,60.33754777070064,0,1,Normal,Deploy 5+ Iris Scanners,High,49.2,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Spsr Nellore,0.0,0.0,2183.0,0.0,0.0,Growth Zone,,,,Declining / Stable,0.0,0.0,1167,0.0,303,1,Normal,Flag as Resource Donor (Relocate Surplus Kits),Normal,91.8,Maintain Routine Operations
Andhra Pradesh,Sri Potti Sriramulu Nellore,10135.0,22065.0,1614.0,32200.0,19.950433705080545,Maintenance-heavy Zone,Demographic-dominant Stress,0.31475155279503103,0.6852484472049689,Emerging Hotspot,6.816729403178317,7.517544249182563,689,13.745848822800495,303,1,Normal,Activate Mobile Document Centers,Normal,75.1,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Sri Sathya Sai,10415.0,22107.0,938.0,32522.0,34.67164179104478,Maintenance-heavy Zone,Demographic-dominant Stress,0.32024475739499414,0.6797552426050059,Early-warning District,6.842585551330799,3.78937535405614,879,30.47637313432836,19,1,Normal,Maintain Routine Operations,High,55.0,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Srikakulam,192607.0,135699.0,4300.0,328306.0,76.35023255813954,Maintenance-heavy Zone,Mixed Stress,0.5866691440302645,0.41333085596973557,Emerging Hotspot,10.60418990658009,10.450320584080997,4157,317.3879167441861,8,1,Normal,Maintain Routine Operations,CRITICAL,37.4,Maintain Routine Operations
Andhra Pradesh,Tirupati,10398.0,33230.0,1719.0,43628.0,25.379872018615472,Maintenance-heavy Zone,Demographic-dominant Stress,0.23833318052626754,0.7616668194737325,Emerging Hotspot,4.9185691345997,5.216899262808235,802,20.35465735892961,228,1,Normal,Activate Mobile Document Centers,High,66.1,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Visakhapatanam,0.0,0.0,226.0,0.0,0.0,Growth Zone,,,,Declining / Stable,,,186,0.0,12,1,Normal,Flag as Resource Donor (Relocate Surplus Kits),Normal,95.9,Maintain Routine Operations
Andhra Pradesh,Visakhapatnam,311303.0,157193.0,8178.0,468496.0,57.28735632183908,Maintenance-heavy Zone,Biometric-dominant Stress,0.6644731225026468,0.3355268774973532,Early-warning District,5.985170441952853,1.2029311231545903,7688,440.4251954022988,30,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,35.2,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Vizianagaram,159998.0,78887.0,3856.0,238885.0,61.95150414937759,Maintenance-heavy Zone,Biometric-dominant Stress,0.6697699729995604,0.3302300270004395,Emerging Hotspot,10.71068327045397,6.618076825247425,3695,228.9108078319502,3,1,Normal,Deploy 5+ Iris Scanners,CRITICAL,39.6,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Warangal,51758.0,34766.0,1059.0,86524.0,81.7034938621341,Maintenance-heavy Zone,Mixed Stress,0.5981924090425778,0.40180759095742224,Emerging Hotspot,27.808706083976006,25.484672715550296,858,70.10159773371105,0,1,Normal,Maintain Routine Operations,High,44.6,Maintain Routine Operations
Andhra Pradesh,West Godavari,220414.0,126806.0,5935.0,347220.0,58.503791069924176,Maintenance-heavy Zone,Mixed Stress,0.6347963826968492,0.36520361730315076,Emerging Hotspot,8.760470506440226,9.023992037320578,5568,325.7491086773378,24,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,36.9,PRE-EMPTIVE: Book School Premises for MBU Camps
Andhra Pradesh,Y. S. R,8608.0,28186.0,823.0,36794.0,44.70716889428918,Maintenance-heavy Zone,Demographic-dominant Stress,0.2339511876936457,0.7660488123063542,Emerging Hotspot,7.213289989326945,7.256418134281943,738,32.99389064398542,33,1,Normal,Activate Mobile Document Centers,High,50.3,Setup Document Update Camp (Panchayat Level)
Arunachal Pradesh,Anjaw,1171.0,760.0,37.0,1931.0,52.189189189189186,Maintenance-heavy Zone,Mixed Stress,0.6064215432418436,0.3935784567581564,Emerging Hotspot,22.238095238095237,27.148245079274528,23,1.2003513513513513,3,1,Normal,Maintain Routine Operations,High,52.0,Maintain Routine Operations
Arunachal Pradesh,Changlang,8183.0,5659.0,803.0,13842.0,17.23785803237858,Maintenance-heavy Zone,Mixed Stress,0.5911717959832394,0.40882820401676057,Emerging Hotspot,7.015214176504499,9.19739834317117,486,8.37759900373599,13,1,Normal,Maintain Routine Operations,Normal,80.7,Maintain Routine Operations
Arunachal Pradesh,Dibang Valley,471.0,160.0,10.0,631.0,63.1,Maintenance-heavy Zone,Biometric-dominant Stress,0.7464342313787639,0.25356576862123614,Emerging Hotspot,19.666666666666668,198.53436940069932,7,0.4417,0,-1,Sentinel Alert: Audit Required,"IMMEDIATE DISTRICT AUDIT (Suspicious Adult Enrolment), Deploy 5+ Iris Scanners",CRITICAL,20.7,URGENT: IMMEDIATE SECURITY AUDIT & KIT DEPLOYMENT
Arunachal Pradesh,East Kameng,4297.0,1422.0,181.0,5719.0,31.596685082872927,Maintenance-heavy Zone,Biometric-dominant Stress,0.7513551320160867,0.24864486798391328,Early-warning District,1.0610047846889945,1.9938154187256312,88,2.7805082872928173,14,1,Normal,Maintain Routine Operations,High,62.1,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,East Siang,3321.0,2503.0,168.0,5824.0,34.666666666666664,Maintenance-heavy Zone,Mixed Stress,0.5702266483516484,0.4297733516483517,Emerging Hotspot,16.872023809523807,24.629905968643815,80,2.773333333333333,2,1,Normal,Maintain Routine Operations,High,59.0,Maintain Routine Operations
Arunachal Pradesh,Kamle,143.0,318.0,30.0,461.0,15.366666666666667,Maintenance-heavy Zone,Demographic-dominant Stress,0.31019522776572667,0.6898047722342733,Declining / Stable,-2.1,9.217186697265324,3,0.0461,2,1,Normal,Maintain Routine Operations,Normal,87.2,Setup Document Update Camp (Panchayat Level)
Arunachal Pradesh,Kra Daadi,1240.0,514.0,81.0,1754.0,21.65432098765432,Maintenance-heavy Zone,Biometric-dominant Stress,0.7069555302166477,0.29304446978335236,Emerging Hotspot,4.3736383442265785,6.891188521921611,18,0.3897777777777778,4,1,Normal,Deploy 5+ Iris Scanners,Normal,76.5,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Kurung Kumey,3390.0,335.0,75.0,3725.0,49.666666666666664,Maintenance-heavy Zone,Biometric-dominant Stress,0.9100671140939597,0.08993288590604027,Emerging Hotspot,11.57051282051282,19.061383105703193,19,0.9436666666666667,12,1,Normal,Deploy 5+ Iris Scanners,High,52.8,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Leparada,36.0,23.0,3.0,59.0,19.666666666666668,Maintenance-heavy Zone,Mixed Stress,0.6101694915254238,0.3898305084745763,Declining / Stable,-1.5,23.33452377915607,0,0.0,1,1,Normal,Maintain Routine Operations,Normal,81.0,Maintain Routine Operations
Arunachal Pradesh,Lohit,3891.0,1866.0,166.0,5757.0,34.68072289156626,Maintenance-heavy Zone,Biometric-dominant Stress,0.675872850442939,0.32412714955706096,Emerging Hotspot,2.645833333333334,12.332428350023983,102,3.537433734939759,1,1,Normal,Deploy 5+ Iris Scanners,High,58.6,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Longding,2599.0,1485.0,897.0,4084.0,4.552954292084727,Maintenance-heavy Zone,Mixed Stress,0.6363858961802155,0.36361410381978454,Emerging Hotspot,9.175640444343687,14.580653235024455,141,0.6419665551839465,37,1,Normal,Maintain Routine Operations,Normal,93.6,Maintain Routine Operations
Arunachal Pradesh,Lower Dibang Valley,2248.0,1157.0,109.0,3405.0,31.238532110091743,Maintenance-heavy Zone,Biometric-dominant Stress,0.6602055800293686,0.3397944199706314,Early-warning District,6.732299741602067,2.719397753569038,58,1.811834862385321,2,1,Normal,Maintain Routine Operations,High,62.8,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Lower Siang,413.0,339.0,31.0,752.0,24.258064516129032,Maintenance-heavy Zone,Mixed Stress,0.5492021276595744,0.4507978723404255,Emerging Hotspot,27.583333333333332,45.90896511827829,10,0.2425806451612903,3,1,Normal,Maintain Routine Operations,Normal,72.6,Maintain Routine Operations
Arunachal Pradesh,Lower Subansiri,2680.0,1521.0,105.0,4201.0,40.00952380952381,Maintenance-heavy Zone,Mixed Stress,0.6379433468221852,0.3620566531778148,Emerging Hotspot,5.409090909090907,14.105245863518244,50,2.0004761904761907,0,1,Normal,Maintain Routine Operations,High,55.8,Maintain Routine Operations
Arunachal Pradesh,Namsai,6003.0,2135.0,150.0,8138.0,54.25333333333333,Maintenance-heavy Zone,Biometric-dominant Stress,0.7376505283853527,0.26234947161464733,Emerging Hotspot,7.59192037470726,34.90463830061485,95,5.154066666666667,1,1,Normal,Deploy 5+ Iris Scanners,High,50.7,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Pakke Kessang,74.0,87.0,4.0,161.0,40.25,Maintenance-heavy Zone,Mixed Stress,0.45962732919254656,0.5403726708074534,Emerging Hotspot,10.0,7.0710678118654755,2,0.0805,1,1,Normal,Maintain Routine Operations,High,56.8,Maintain Routine Operations
Arunachal Pradesh,Papum Pare,9259.0,4922.0,447.0,14181.0,31.7248322147651,Maintenance-heavy Zone,Biometric-dominant Stress,0.6529158733516677,0.34708412664833227,Emerging Hotspot,5.8754973687588254,11.213485276653772,201,6.3766912751677856,5,1,Normal,Deploy 5+ Iris Scanners,High,60.8,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Shi-Yomi,529.0,238.0,35.0,767.0,21.914285714285715,Maintenance-heavy Zone,Biometric-dominant Stress,0.6897001303780965,0.31029986962190353,Emerging Hotspot,17.633333333333333,28.277550930399105,8,0.17531428571428573,5,1,Normal,Deploy 5+ Iris Scanners,Normal,76.3,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Siang,1309.0,777.0,103.0,2086.0,20.25242718446602,Maintenance-heavy Zone,Mixed Stress,0.62751677852349,0.3724832214765101,Emerging Hotspot,50.972972972972975,67.19296223089552,39,0.7898446601941747,4,1,Normal,Maintain Routine Operations,Normal,78.1,Maintain Routine Operations
Arunachal Pradesh,Tawang,2464.0,951.0,154.0,3415.0,22.175324675324674,Maintenance-heavy Zone,Biometric-dominant Stress,0.7215226939970717,0.27847730600292825,Emerging Hotspot,9.143386243386244,9.498168891854888,104,2.306233766233766,7,1,Normal,Deploy 5+ Iris Scanners,Normal,74.6,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Tirap,1893.0,990.0,99.0,2883.0,29.12121212121212,Maintenance-heavy Zone,Biometric-dominant Stress,0.6566077003121749,0.3433922996878252,Emerging Hotspot,7.017948717948717,13.832007800092867,59,1.7181515151515152,1,1,Normal,Deploy 5+ Iris Scanners,High,65.1,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,Upper Siang,1796.0,1321.0,43.0,3117.0,72.48837209302326,Maintenance-heavy Zone,Mixed Stress,0.5761950593519409,0.423804940648059,Emerging Hotspot,39.02777777777778,63.818659709841086,21,1.5222558139534885,1,1,Normal,Maintain Routine Operations,High,49.7,Maintain Routine Operations
Arunachal Pradesh,Upper Subansiri,4166.0,1549.0,143.0,5715.0,39.96503496503497,Maintenance-heavy Zone,Biometric-dominant Stress,0.7289588801399826,0.2710411198600175,Early-warning District,4.187370600414079,4.423613775456392,76,3.0373426573426574,12,1,Normal,Maintain Routine Operations,High,55.4,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,West Kameng,6172.0,1859.0,278.0,8031.0,28.888489208633093,Maintenance-heavy Zone,Biometric-dominant Stress,0.7685219773378159,0.23147802266218404,Emerging Hotspot,15.79130808950086,23.105609620907728,157,4.535492805755395,18,1,Normal,Deploy 5+ Iris Scanners,High,64.6,Deploy Iris Scanners (Biometric Failure)
Arunachal Pradesh,West Siang,4646.0,3552.0,192.0,8198.0,42.697916666666664,Maintenance-heavy Zone,Mixed Stress,0.5667235911197853,0.4332764088802147,Emerging Hotspot,3.645000000000001,14.77946016491672,110,4.696770833333333,2,1,Normal,Maintain Routine Operations,High,53.6,Maintain Routine Operations
Assam,Bajali,23.0,844.0,29.0,867.0,29.896551724137932,Maintenance-heavy Zone,Demographic-dominant Stress,0.0265282583621684,0.9734717416378316,Emerging Hotspot,17.833333333333332,28.307831660749528,19,0.5680344827586207,2,1,Normal,Activate Mobile Document Centers,High,64.9,Setup Document Update Camp (Panchayat Level)
Assam,Baksa,17455.0,17012.0,3699.0,34467.0,9.317923763179238,Maintenance-heavy Zone,Mixed Stress,0.5064264368816549,0.4935735631183451,Declining / Stable,-19.784028760777247,62.90124212745707,2120,19.753998377939986,400,1,Normal,Maintain Routine Operations,Normal,84.1,Maintain Routine Operations
Assam,Barpeta,95421.0,59142.0,14383.0,154563.0,10.74622818605298,Maintenance-heavy Zone,Mixed Stress,0.6173599114924011,0.38264008850759884,Declining / Stable,-35.207646921769644,88.9625999928877,10545,113.31897622192866,532,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),Normal,74.0,PRE-EMPTIVE: Book School Premises for MBU Camps
